Year,Month,Day,Validity,Cause,Eq Magnitude,Country,Location,Latitude,Longitude,Max Water Height (m),Tsm Magnitude (Iida),Tsunami,ECountry,ELocation
1834.0,2.0,9.0,4.0,1.0,6.4,JAPAN,W. HOKKAIDO ISLAND,43.3,141.4,0.92,2.0,1,41,481
1835.0,2.0,20.0,4.0,1.0,8.2,CHILE,CENTRAL CHILE,-36.83,-73.03,24.0,4.0,1,10,64
1835.0,7.0,20.0,4.0,1.0,7.6,JAPAN,SANRIKU,37.9,141.9,5.0,2.3,1,41,396
1836.0,4.0,24.0,3.0,1.0,7.2,ITALY,ROSSANO,39.6,16.6,0.92,0.6,0,39,371
1837.0,1.0,1.0,3.0,1.0,7.2,ISRAEL,ISRAEL and SYRIAN COASTS,33.0,35.5,0.92,0.6,0,38,173
1837.0,11.0,7.0,4.0,1.0,8.5,CHILE,SOUTHERN CHILE,-42.5,-74.0,6.0,3.0,1,10,432
1839.0,1.0,11.0,3.0,1.0,7.8,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE,14.9,-60.6,0.92,0.6,0,45,246
1839.0,1.0,1.0,3.0,0.0,7.2,NEW ZEALAND,"WAIKAWA, SOUTHLAND",-46.627,169.126,0.92,0.6,0,53,485
1841.0,5.0,17.0,4.0,1.0,8.4,RUSSIA,KAMCHATKA,52.0,158.0,15.0,3.9,1,62,184
1841.0,11.0,26.0,3.0,1.0,7.2,INDONESIA,MOLUCCAS ISLANDS,-5.0,130.0,3.0,1.5,0,36,259
1841.0,12.0,16.0,3.0,1.0,6.0,INDONESIA,BANDA SEA,-4.0,127.5,1.5,1.0,0,36,32
1842.0,5.0,7.0,4.0,1.0,8.1,HAITI,CAP-HAITIAN,19.75,-72.2,5.0,4.2,1,32,55
1843.0,1.0,5.0,4.0,1.0,7.3,INDONESIA,SW. SUMATRA,1.5,98.0,0.92,0.6,1,36,446
1843.0,2.0,8.0,4.0,1.0,8.3,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE,16.5,-62.2,1.2,0.3,1,30,350
1843.0,4.0,25.0,4.0,1.0,8.4,JAPAN,SE. HOKKAIDO ISLAND,42.0,146.0,4.5,2.2,1,41,405
1845.0,2.0,8.0,3.0,1.0,7.0,INDONESIA,CELEBES SEA,1.5,124.85,0.92,0.0,0,36,62
1845.0,4.0,7.0,4.0,1.0,8.3,MEXICO,S. MEXICO,17.0,-100.6,0.92,0.6,1,46,379
1845.0,6.0,19.0,3.0,1.0,6.3,INDIA,RANN OF KUTCH,23.583,68.367,0.92,0.6,0,35,366
1845.0,8.0,16.0,3.0,1.0,7.2,CROATIA,DUBROVNIK,,,0.92,0.6,0,14,97
1845.0,1.0,1.0,3.0,8.0,7.2,USA,"SE. ALASKA, AK",,,0.92,0.6,0,78,404
1846.0,1.0,25.0,4.0,1.0,7.3,INDONESIA,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2.0,126.5,1.2,0.6,1,36,459
1846.0,3.0,1.0,4.0,1.0,6.9,JAPAN,SANRIKU,39.5,142.5,2.0,1.0,1,41,396
1846.0,5.0,7.0,4.0,0.0,7.2,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.96,175.73,0.92,0.6,1,53,215
1846.0,8.0,14.0,3.0,1.0,6.1,ITALY,LIVORNO,43.4,10.6,0.92,0.6,0,39,227
1846.0,8.0,26.0,3.0,1.0,7.2,ITALY,TUSCANY,43.5,10.5,0.92,0.6,0,39,471
1846.0,9.0,12.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,9.0,19.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,10.0,4.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,10.0,14.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,10.0,19.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,10.0,24.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,10.0,28.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1846.0,11.0,29.0,3.0,1.0,7.2,ITALY,TUSCANY,,,0.92,0.6,0,39,471
1847.0,4.0,15.0,3.0,1.0,7.2,ITALY,LIVORNO,,,0.92,0.6,0,39,227
1847.0,4.0,16.0,3.0,1.0,7.2,ITALY,LIVORNO,,,0.92,0.6,0,39,227
1847.0,4.0,17.0,3.0,1.0,7.2,ITALY,LIVORNO,,,0.92,0.6,0,39,227
1847.0,7.0,9.0,4.0,8.0,7.2,PORTUGAL,AZORES,39.483,-31.233,7.0,0.6,1,61,26
1847.0,10.0,31.0,3.0,1.0,7.2,INDIA,LITTLE NICOBAR ISLAND,7.333,93.667,0.92,0.6,0,35,225
1848.0,9.0,24.0,3.0,8.0,7.2,CANADA,"FISHING SHIPS HARBOUR, NEWFOUNDLAND",52.616,-55.766,0.92,0.6,0,9,127
1849.0,1.0,25.0,3.0,1.0,7.5,USA TERRITORY,"GUAM, MARIANA ISLANDS",14.0,143.3,6.1,1.0,0,79,139
1849.0,9.0,28.0,4.0,1.0,7.2,RUSSIA,KAMCHATKA,55.0,166.0,0.92,0.6,1,62,184
1849.0,11.0,17.0,4.0,1.0,7.5,CHILE,CENTRAL CHILE,-29.95,-71.37,5.0,2.3,1,10,64
1851.0,2.0,28.0,3.0,1.0,7.1,TURKEY,"FETIYE, ASIA MINOR",36.5,29.0,0.6,-0.1,0,75,125
1851.0,4.0,3.0,3.0,1.0,7.2,TURKEY,ASIA MINOR,36.4,28.7,1.8,0.6,0,75,21
1851.0,5.0,4.0,3.0,0.0,7.2,INDONESIA,LAMPUNG BAY,-5.0,105.0,1.5,3.9,0,36,216
1852.0,1.0,9.0,3.0,1.0,6.5,INDONESIA,JAVA,-6.5,105.5,0.92,0.6,0,36,181
1852.0,11.0,25.0,4.0,1.0,8.3,INDONESIA,BANDA SEA,-5.25,129.75,8.0,3.0,1,36,32
1853.0,7.0,15.0,4.0,1.0,6.7,VENEZUELA,CUMANA,10.5,-64.2,5.0,0.6,1,81,88
1853.0,8.0,18.0,3.0,1.0,7.2,GREECE,CENTRAL GREECE (EVOIKOS GULF),38.25,23.5,0.92,0.6,0,27,65
1853.0,1.0,1.0,4.0,8.0,7.2,USA,"LITUYA BAY, AK",58.63,-137.57,120.0,4.3,1,78,226
1854.0,1.0,27.0,3.0,3.0,7.2,USA,"KODIAK ISLAND, AK",57.0,-152.0,2.4,0.6,0,78,204
1854.0,7.0,9.0,4.0,6.0,7.2,RUSSIA,N. KURIL ISLANDS,50.9,155.5,0.92,0.6,1,62,271
1854.0,8.0,5.0,3.0,3.0,7.3,COSTA RICA,COSTA RICA-PANAMA,8.5,-83.0,0.92,0.6,0,13,85
1854.0,9.0,27.0,3.0,1.0,7.2,INDONESIA,N. MOLUCCAS ISLANDS,0.8,127.4,0.92,0.6,0,36,273
1854.0,10.0,4.0,3.0,0.0,7.2,USA,N. CALIFORNIA,,,0.03,0.6,0,78,269
1854.0,12.0,23.0,4.0,1.0,8.3,JAPAN,ENSHUNADA SEA,34.0,137.9,21.0,4.0,1,41,123
1854.0,12.0,24.0,4.0,1.0,8.4,JAPAN,NANKAIDO,33.1,135.0,28.0,4.0,1,41,278
1855.0,1.0,23.0,3.0,1.0,8.0,NEW ZEALAND,NORTHERN ISLAND,-41.25,175.0,11.0,3.2,0,53,300
1855.0,2.0,3.0,4.0,1.0,7.2,NEW ZEALAND,WHARANUI,-41.93,174.09,0.92,0.6,1,53,490
1855.0,4.0,14.0,3.0,0.0,7.2,INDONESIA,FLORES ISLAND,-9.0,121.0,0.92,0.6,0,36,128
1855.0,7.0,11.0,3.0,3.0,6.0,USA,S. CALIFORNIA,34.1,-118.1,0.92,0.6,0,78,376
1855.0,11.0,7.0,4.0,1.0,7.0,JAPAN,ENSHUNADA,34.5,137.6,3.0,1.0,1,41,122
1855.0,11.0,11.0,4.0,1.0,7.0,JAPAN,TOKAIDO,35.65,139.8,0.92,0.6,1,41,464
1856.0,2.0,15.0,3.0,3.0,5.5,USA,N. CALIFORNIA,37.5,-122.3,0.6,0.6,0,78,269
1856.0,3.0,2.0,4.0,6.0,7.2,INDONESIA,SANGIHE ISLAND,3.67,125.5,0.92,1.0,1,36,395
1856.0,3.0,1.0,3.0,0.0,7.2,NEW ZEALAND,"S CANTERBURY PROVINCE, SOUTH ISLAND",-44.0,172.0,1.0,0.6,0,53,374
1856.0,8.0,4.0,4.0,3.0,7.5,HONDURAS,BAY OF HONDURAS,16.0,-88.0,5.0,0.6,1,33,35
